number;name;address;dept;cp;ville;latitude;longitude;wgs84
5034;05034 - CENSIER;21 RUE CENSIER - 75005 PARIS;75;75005;PARIS;48.84050866371248;2.353713552033412;48.8405086637, 2.35371355203
5033;05033 - SAINT SEVERIN;42 RUE SAINT SEVERIN - 75005 PARIS;75;75005;PARIS;48.852705647705136;2.344137763245671;48.8527056477, 2.34413776325
5106;05106 - CUJAS;22 RUE CUJAS - 75005 PARIS;75;75005;PARIS;48.84819134858432;2.34183165485398;48.8481913486, 2.34183165485
6006;06006 - NOTRE DAME DES CHAMPS;41 RUE NOTRE DAME DES CHAMPS - 75006 PARIS;75;75006;PARIS;48.84479928858768;2.329337755887181;48.8447992886, 2.32933775589
6107;06107 - CHERCHE MIDI;29 RUE DU CHERCHE MIDI - 75006 PARIS;75;75006;PARIS;48.85024108719566;2.327551549210571;48.8502410872, 2.32755154921
6021;06021 - BONAPARTE BEAUX ARTS;17 RUE DES BEAUX ARTS - 75006 PARIS;75;75006;PARIS;48.8564374096868;2.334797622948368;48.8564374097, 2.33479762295
6013;06013 - JACQUES CALLOT;1 RUE JACQUES CALLOT - 75006 PARIS;75;75006;PARIS;48.85525468775053;2.337539334060287;48.8552546878, 2.33753933406
6024;06024 - SAINT GERMAIN DES PRES;55 RUE DES SAINTS PERES - 75006 PARIS;75;75006;PARIS;48.85394230916141;2.33015352476927;48.8539423092, 2.33015352477
6026;06026 - SAINT PLACIDE CHERCHE MIDI;28 RUE SAINT PLACIDE - 75006 PARIS;75;75006;PARIS;48.84913990321828;2.325175389412747;48.8491399032, 2.32517538941
7009;07009 - ASSEMBLEE NATIONALE;FACE 119 RUE DE LILLE - 75007 PARIS;75;75007;PARIS;48.86137389094257;2.320131276903925;48.8613738909, 2.3201312769
7014;07014 - SAINT FRANCOIS XAVIER;35 BOULEVARD DES INVALIDES - 75007 PARIS;75;75007;PARIS;48.85167822904787;2.314633840627834;48.851678229, 2.31463384063
908;00908 - PORT DU GROS CAILLOU (STATION MOBILE);QUAI D'ORSAY - PORT DU GROS CAILLOU - 75007 PARIS;75;75007;PARIS;48.86288;2.30652;48.86288, 2.30652
